,dealer_net_buy,eps_growth,foreign_net_buy,macd_signal,momentum_20d,revenue_yoy,roa,roe,rsi_14,trust_net_buy,volume_ratio
2025-06-27,0.29411764705882354,-0.11176470588235293,-0.15,-0.37941176470588234,-0.0029411764705882353,-0.09999999999999999,0.027472527472527472,-0.2582417582417582,0.008823529411764706,0.13529411764705881,0.09411764705882353
2025-06-30,-0.5264705882352941,0.35000000000000003,0.2323529411764706,0.3294117647058824,-0.008823529411764706,0.29705882352941176,0.03846153846153846,0.10989010989010989,0.1264705882352941,0.0029411764705882353,0.16176470588235295
2025-07-01,0.3,-0.1264705882352941,0.2352941176470588,0.011764705882352941,-0.3235294117647059,0.06176470588235294,-0.3131868131868132,-0.34065934065934067,-0.21176470588235297,-0.5617647058823529,-0.09705882352941177
2025-07-02,0.1764705882352941,-0.18235294117647058,-0.14705882352941177,0.3764705882352941,-0.049999999999999996,-0.15,-0.33516483516483514,0.6703296703296703,-0.22941176470588234,-0.0029411764705882353,0.011764705882352941
2025-07-03,0.4194261621149979,0.06769685423610491,0.28108911215426174,0.38116272276415597,0.055923488281999716,0.4194261621149979,0.18982136251885168,0.060522753266880246,-0.14422373293778876,-0.06916852498036807,0.244297343547683
2025-07-04,0.04120678083936821,0.32229589299362993,-0.5253864557019448,-0.332597588203472,-0.2060339041968411,-0.017660048931157808,0.27235238970096115,0.12654757501256778,0.3664460153215245,-0.032376756373789305,-0.37380436904284026
2025-07-07,0.5941176470588235,0.2352941176470588,0.2441176470588235,-0.10882352941176471,0.2029411764705882,0.27941176470588236,0.5494505494505494,0.0879120879120879,0.049999999999999996,-0.06470588235294117,0.6235294117647059
2025-07-08,0.12058823529411765,0.6647058823529411,0.3147058823529411,0.2823529411764706,0.4588235294117647,0.7264705882352941,0.5604395604395606,-0.06593406593406594,0.2647058823529412,-0.5033113945379976,0.06176470588235294
2025-07-09,-0.2911764705882353,0.2823529411764706,0.11470588235294117,0.2058823529411765,0.19411764705882353,0.01764705882352941,0.48901098901098894,-0.005494505494505494,0.35000000000000003,0.21764705882352942,0.2088235294117647
2025-07-10,0.19259787655743693,0.5763121075449459,0.32149030163818326,0.3748250982233196,0.6044610279648791,0.4340859833179155,0.7270900215397069,0.22286284185125113,0.560015364143932,0.3940848858790633,0.5866827624365002
2025-07-11,0.4365800705746571,-0.8082631036314596,-0.27433747678002096,-0.24188895802109375,-0.7994135076062977,-0.7522156621387671,-0.7857142857142857,0.021978021978021976,-0.6725692979123093,0.008849596025161967,-0.666669567228868
2025-07-14,0.047058823529411764,0.03529411764705882,-0.19999999999999998,-0.049999999999999996,0.1323529411764706,0.29411764705882354,0.016483516483516484,-0.2967032967032967,0.03529411764705882,0.09999999999999999,0.16764705882352943
2025-07-15,-0.5205882352941177,0.5529411764705882,0.21176470588235297,-0.18823529411764706,0.4911764705882353,0.538235294117647,0.7802197802197801,-0.24175824175824176,0.37941176470588234,-0.09705882352941177,0.055882352941176466
2025-07-16,-0.3399559419247878,-0.6593084934298914,-0.3384842711805246,-0.023546731908210407,-0.43708621104615575,-0.33554092969199834,-0.8555716484545344,-0.0522696505486693,-0.3767477105313665,0.4915380285838923,0.30316417331820894
2025-07-17,-0.2529411764705882,0.29705882352941176,0.03823529411764706,0.22352941176470587,0.37941176470588234,0.3029411764705882,0.15384615384615383,-0.4175824175824176,0.2529411764705882,0.03823529411764706,0.39999999999999997
2025-07-18,0.3208242222493668,-0.3502576371346298,0.3119941977837879,0.5930833099380497,0.46210461369862926,0.13833704996073615,-0.20632756795527354,0.23933997882811733,0.2045622334525779,-0.2913908073641038,0.6048566758921549
2025-07-21,-0.25588235294117645,-0.38823529411764707,-0.2029411764705882,0.3147058823529411,-0.02058823529411765,-0.19705882352941176,-0.0879120879120879,0.1758241758241758,0.02647058823529412,0.047058823529411764,0.07941176470588236
2025-07-22,-0.17941176470588235,-0.411764705882353,-0.044117647058823525,0.29411764705882354,0.17941176470588235,-0.6147058823529412,-0.7747252747252747,0.3021978021978022,-0.12941176470588234,0.0,0.19411764705882353
2025-07-23,0.042678451583631365,0.1221486717738415,0.166298794101736,0.04415012232789452,0.1221486717738415,0.3929360887182612,0.03576344511224741,-0.03576344511224741,0.032376756373789305,0.016188378186894652,0.3473142956461035
2025-07-24,-0.005970814340265321,0.16121198718716367,0.14031413699623504,0.17315361586769432,0.2537596094612761,-0.14628495133650035,-0.21171969975868857,0.16993291691157897,0.09254762227411246,0.0029854071701326604,0.3731758962665826
2025-07-25,0.40118168647400915,-0.27433747678002096,0.16814232447807734,0.15634286311119475,0.27138761143830026,0.038348249442368525,-0.4594227179804091,-0.11279240381554954,0.19764097789528393,0.333334783614434,0.6489703751785442
2025-07-28,0.12941176470588234,0.21176470588235297,0.06764705882352941,-0.39999999999999997,-0.3852941176470588,0.13529411764705881,0.5494505494505494,0.3736263736263736,-0.19411764705882353,0.07647058823529412,-0.40294117647058825
2025-07-29,0.044117647058823525,-0.22352941176470587,0.4764705882352941,0.5323529411764706,0.6617647058823529,-0.19999999999999998,-0.4505494505494505,-0.027472527472527472,0.5323529411764706,-0.37058823529411766,0.3147058823529411
2025-07-30,-0.10294117647058824,0.06764705882352941,0.27941176470588236,0.06470588235294117,0.4823529411764706,0.36470588235294116,-0.027472527472527472,0.14835164835164835,0.5588235294117647,-0.2647058823529412,0.16764705882352943
