,2330.TW,2317.TW,2454.TW,2308.TW,2382.TW,2303.TW,2412.TW,2881.TW,2882.TW,2886.TW,1301.TW,1303.TW,2002.TW,2912.TW,2207.TW,6505.TW
2024-12-20,0.04347806164883017,0.024861900897485745,0.014388476469741729,0.019417520609749328,0.04144140739454549,0.012987117594798425,0.01219511173789889,0.011061964002832436,0.02526000432083042,0.0012954918198535559,0.014986281805222879,0.0016103295605276458,0.00502515256284819,0.017175589207182318,0.02693607437024581,0.01585018846127051
2024-12-23,0.0,0.0,-0.0035460272909140222,0.01309524455575306,0.006920429006413098,0.02564104020427105,-0.008032100652820229,0.004376374306096054,-0.0014492087933200004,0.011642803535917068,0.008053716927149068,0.008038577232185373,-0.0024999163656233003,0.005628542963070249,0.0016394078342674145,0.0028367967373130742
2024-12-24,0.00462966707858814,0.005390811913098537,0.0035586463479826413,-0.007050572248112896,0.0034364329131955085,0.001136330703984223,0.004048536757992105,-0.003267889285050063,-0.0029028575938434553,-0.006393816409299147,-0.003994686390175306,-0.012759170554539123,0.0,0.0074626804074600095,0.003273233465490577,-0.0014144411997532025
2024-12-25,0.0,0.00536199166958129,0.0070921464549602575,0.01301775838831154,-0.0034246642841327946,-0.007945470834555657,0.0,-0.002185795491655318,0.0,-0.002574004542828856,-0.013368957404215176,-0.0016155325385065478,0.002506181610045566,-0.007407401338620168,0.0016312771816826555,-0.007082112917440764
2024-12-26,0.00460833203547617,-0.005333394055087259,0.00704229335225981,0.008177547850330757,0.0,-0.0022884490289006854,0.004032276101638921,0.00547636911253635,0.008733691946678945,0.002580647140291381,0.002710000675219648,0.003236293414328184,0.0,-0.009328438945077067,0.0,-0.001426547648994525
2024-12-27,0.0,-0.00804290271639485,-0.00699304626900743,0.0069525345738161715,-0.010309298739586414,-0.011467838210554193,-0.004016082149565059,-0.00544654183903881,-0.0014430511896640352,-0.0012869512788128423,-0.040540564562095205,-0.029032304405453235,-0.007499943031656464,-0.005649683555113971,-0.004885861350913623,-0.011428573338572945
2024-12-30,-0.013761463688197306,-0.005405381841903534,-0.0035210554499865987,-0.009206040781599367,-0.003472229160907503,-0.0011600592504595886,-0.004032212198689655,-0.0109530083340319,-0.013005764388565488,-0.00257732142993905,0.0,-0.006644485934538147,-0.010075619907380262,-0.0037878758406969526,0.013093257389255486,-0.001445101037605534
2024-12-31,-0.009302167909204129,-0.008152181152553228,-0.025974046186030386,-0.031358863031884066,-0.024390292812298875,0.015098756817674364,-0.0040486009196547545,0.0044296857035126536,-0.004392420327831603,-0.015503989460542877,-0.01690135349889832,0.0,-0.02035624389080748,0.0,-0.016155076127299384,-0.02170765991633783
2025-01-02,0.009389510714455263,-0.008219185441196264,0.011111096490477701,-0.007194214438849711,0.03214292321047374,-0.013730043676238313,-0.0040650587201275235,0.004410240756493877,-0.0029410414755222103,0.007874126291551597,-0.011461317098656831,-0.011705726255943127,-0.012986981585866753,0.0019011692386070589,0.0,0.011834436947034677
2025-01-03,0.04651153611152292,0.01933706315284689,0.04395607970871018,0.010869557019829612,0.017301072516032745,0.006960638168267197,0.008163301741183071,0.00878148117100963,0.01474917679151222,0.010416674190232955,0.05072464743259797,0.05752966182946451,0.01578945541888488,0.007590066718975219,0.02791461341085988,0.06140342675540089
2025-01-06,0.004444591371047357,0.0298102950834902,0.04561403352556215,0.032258040449475,0.005102050803871494,-0.024193688742885633,-0.0040486009196547545,0.0,0.004360381675453384,-0.006443354633158815,-0.046896627390476175,-0.04159998339910875,-0.018134711121074676,-0.013182634636815904,-0.01597453337394905,-0.030303007515566138
2025-01-07,-0.02212395928959121,-0.010526352584165899,-0.013422857656241405,-0.009259244536539035,-0.001692050672795209,0.008264511943877118,0.0040650587201276345,-0.00870503804333922,-0.004341451290800102,0.003891104972472137,-0.037626599553762685,-0.021702894243137094,-0.0026385364688477075,-0.005725156197504355,-0.011363542767425017,-0.026988680897423234
2025-01-08,-0.004525036104852553,-0.02659571246794512,-0.020408050524536425,-0.02453271650163169,-0.023728859852410467,-0.025761140158132134,-0.0040486009196547545,0.0,-0.007267458684582784,-0.0025840835604985513,-0.03759396877735488,-0.023890735383740314,-0.015872997956809853,-0.0019194145521768124,-0.013136365038001308,-0.020437930939864013
2025-01-09,0.0,-0.008196728394229691,0.01736102789099636,0.005988061120851151,-0.015625031224083985,-0.00721152532048408,0.0,-0.013172447341476712,-0.04685214980090713,-0.0038859622308859976,-0.017187453622517057,-0.010489595499758475,-0.016129118025268396,-0.0019230450181776382,-0.0016638484520870023,-0.019374027500741797
2025-01-10,-0.02272711801486904,-0.0550964376935944,-0.05119447126040355,-0.047619118419212736,-0.04585535949676134,-0.009685146695095348,0.0,-0.0011122573429191984,-0.013824867994715162,0.0,0.028616756803237164,0.014134345368750134,-0.010928914841533577,0.0019267502456388197,0.0,0.06838901938212771
2025-01-13,0.013953484052307008,0.017492726961581218,0.007194173677813831,0.025000078057187736,-0.005545297649294456,0.03300727160222672,0.0040650587201276345,0.011135782230825342,0.02024923103967846,0.011703571621414888,0.08037106120603554,0.06097561722574518,0.013812228692191564,-0.007692301615183972,0.0,0.027026961061938914
2025-01-14,-0.022935620151497305,-0.020057354366288305,0.014285665084939447,-0.02317072232745343,-0.033457197814821815,-0.018934844017281516,0.0,-0.004405293123551091,-0.012213793519307292,0.0,0.017167324487483704,0.016420344816592936,0.01907356458672771,0.0019380135743627402,-0.003333352734786743,0.005540221263180767
2025-01-15,0.03755851159509538,0.014619958209403539,0.02816909714828597,0.04494378518663744,0.0,0.0024124752717364917,0.004048536757992105,0.013274356803398835,0.012364814814354252,0.005141289986396291,-0.004219422599371581,0.017770605486752133,0.010695140025576588,0.001934203818775071,0.0016723056618184184,0.008264437063042251
2025-01-16,0.013574543602701272,0.0,-0.020548004136490272,0.008363179092835571,0.0019230192194934492,-0.008423537819423177,0.0,-0.006550228333654706,0.0,-0.007672539157907554,0.05084750949379169,0.04603173756725787,0.03439151267492102,0.003861000798933034,0.0,0.03142075673070188
2025-01-17,0.0,0.025936530345611164,0.010489585570109483,0.011848414869427781,0.02495206588767207,0.037621353242292876,-0.004032212198689655,-0.0054945139322174485,-0.006106896759653702,-0.00257732142993905,-0.008064541290863203,-0.018209437698605502,0.0,-0.0019230450181776382,0.0,-0.015893990752970377
2025-01-20,0.0,0.0028090209549231915,0.013840782138848207,-0.012880568054453811,0.007490591629383703,0.004678322020430281,0.0,0.011049831651544384,0.01228884019769061,0.006459901759777287,-0.024390215772545742,-0.009273585629057779,0.02813304382985793,0.00578031162524395,0.01335555978211067,-0.018842506265579928
